기간,자치구,동,평균연령,남자,여자
2016,동작구,흑석동,42.5,40.9,44
2016,동작구,노량진1동,41.9,40.5,43.3
2016,동작구,사당2동,42.3,41.2,43.3
2016,관악구,소계,41,40.1,41.9
2016,관악구,보라매동,41.9,40.9,43
2016,관악구,청림동,40.7,39.5,41.8
2016,관악구,행운동,40.3,39.7,40.8
2016,관악구,낙성대동,38.1,37.6,38.6
2016,관악구,중앙동,41.5,40.9,42.1
2016,관악구,인헌동,40,39.1,40.8
2016,관악구,남현동,39.9,39.4,40.3
2016,관악구,서원동,40.8,39.7,42
2016,관악구,신원동,42,40.8,43.3
2016,관악구,서림동,40.3,39.1,41.8
2016,관악구,신사동,41.1,40.2,42
2016,관악구,신림동,37.5,37.6,37.4
2016,관악구,난향동,40.9,39.9,41.9
2016,관악구,조원동,41.7,41.4,42
2016,관악구,대학동,39.8,38.9,41.1
2016,관악구,은천동,40.9,39.9,41.8
2016,관악구,성현동,41.3,40,42.5
2016,관악구,청룡동,39.9,39.7,40.1
2016,관악구,난곡동,42.8,41.7,44
2016,관악구,삼성동,45.1,43.6,46.6
2016,관악구,미성동,41.9,41.2,42.6
2016,서초구,소계,39.5,38.8,40.1
2016,서초구,서초1동,39.7,39,40.4
2016,서초구,서초2동,39.3,38.8,39.8
2016,서초구,서초3동,41.3,40.5,42.1
2016,서초구,서초4동,38.6,38.2,39
2016,서초구,잠원동,38.6,37.9,39.3
2016,서초구,반포본동,39.5,39,40
2016,서초구,반포1동,38,37.6,38.3
2016,서초구,반포2동,37.7,37,38.4
2016,서초구,반포3동,38.4,37.4,39.3
2016,서초구,반포4동,39.2,38.4,39.8
2016,서초구,방배본동,39.8,39.5,40
2016,서초구,방배1동,40.7,40,41.4
2016,서초구,방배2동,41.8,40.9,42.6
2016,서초구,방배3동,41.9,41,42.7
2016,서초구,방배4동,39.5,39.4,39.6
2016,서초구,양재1동,38.6,37.6,39.6
2016,서초구,양재2동,39.4,38.7,40.1
2016,서초구,내곡동,39.6,38.7,40.5
2016,강남구,소계,39.6,38.8,40.4
2016,강남구,신사동,41.1,40.5,41.6
2016,강남구,논현1동,40.5,40.3,40.7
2016,강남구,논현2동,40.5,40.2,40.8
2016,강남구,삼성1동,40.6,39.3,41.9
2016,강남구,삼성2동,38,37.1,38.8
2016,강남구,대치1동,36.6,35.6,37.5
2016,강남구,대치4동,38.5,37.8,39.1
2016,강남구,역삼1동,39.6,39.7,39.4
2016,강남구,역삼2동,37.1,36.7,37.5
2016,강남구,도곡1동,39.2,39.1,39.3
2016,강남구,도곡2동,38.9,39.3,38.6
2016,강남구,개포1동,42.7,41.6,43.7
2016,강남구,개포4동,39.8,39.1,40.5
2016,강남구,일원본동,37.9,36.4,39.3
2016,강남구,일원1동,42.7,41,44.4
2016,강남구,일원2동,41.5,38.9,43.9
2016,강남구,수서동,46.7,44.1,48.9
2016,강남구,세곡동,38.1,37.2,38.9
2016,강남구,압구정동,41.1,40.5,41.6
2016,강남구,청담동,40.1,39.2,40.8
2016,강남구,대치2동,39.1,37.8,40.4
2016,강남구,개포2동,40.4,39.4,41.2
2016,송파구,소계,39.9,39.2,40.5
2016,송파구,풍납1동,43.1,42.2,44.1
2016,송파구,풍납2동,39.7,39.1,40.2
2016,송파구,거여1동,41.1,40.4,41.9
2016,송파구,거여2동,42.4,41.4,43.4
2016,송파구,마천1동,42.9,42.2,43.6
2016,송파구,마천2동,43.4,42.3,44.7
2016,송파구,방이1동,39.5,38.9,40.2
2016,송파구,방이2동,40.6,39.7,41.4
2016,송파구,오륜동,38.9,38.2,39.7
2016,송파구,오금동,41.2,40.2,42.1
2016,송파구,송파1동,40.1,39.8,40.3
2016,송파구,송파2동,39.8,39,40.5
2016,송파구,석촌동,40.2,39.5,40.8
2016,송파구,삼전동,39.5,38.5,40.4
2016,송파구,가락본동,40.3,39.6,40.9
2016,송파구,가락1동,42,40.2,43.8
2016,송파구,가락2동,38.5,37.9,39.2
2016,송파구,문정1동,40.4,39.8,41
2016,송파구,문정2동,40.6,40.3,40.8
2016,송파구,장지동,39.2,38.1,40.3
2016,송파구,위례동,34.8,34.3,35.3
2016,송파구,잠실본동,40.1,39.5,40.7
2016,송파구,잠실4동,38.1,37.2,38.9
2016,송파구,잠실6동,40.5,40,41
2016,송파구,잠실7동,42.2,42.2,42.3
2016,송파구,잠실2동,35.6,35.1,36
2016,송파구,잠실3동,39.4,38.7,40
2016,강동구,소계,41,40,42
2016,강동구,강일동,38.3,37.4,39.3
2016,강동구,상일동,41.8,40.8,42.8
2016,강동구,명일1동,40.2,38.9,41.4
2016,강동구,명일2동,39.8,38.6,41
2016,강동구,고덕1동,38.9,37.7,40.2
2016,강동구,고덕2동,45,43.6,46.6
2016,강동구,암사2동,39.6,38.9,40.2
2016,강동구,암사3동,38.5,38.1,38.9
2016,강동구,천호1동,42.6,41.7,43.6
2016,강동구,천호3동,43.6,42.8,44.3
2016,강동구,성내1동,39.8,38.9,40.5
2016,강동구,성내2동,42.7,41.9,43.5
2016,강동구,성내3동,40.8,39.4,42.2
2016,강동구,둔촌1동,40.6,39,42.4
2016,강동구,둔촌2동,40.5,39.4,41.5
2016,강동구,암사1동,41.4,40.3,42.5
2016,강동구,천호2동,43,42.2,43.8
2016,강동구,길동,41.2,40.3,42.1
